245,9.99999999999996,255
243,12,255
227,28,255
224,31,255
225,30,255
230,25,255
226,29,255
221,34,255
246,8.99999999999997,255
244,11,255
248,6.99999999999998,255
146,109,255
228,27,255
250,4.99999999999998,255
249,5.99999999999998,255
48,207,255
248,6.99999999999998,255
179,76,255
159,96,255
212,43,255
182,73,255
248,6.99999999999998,255
250,4.99999999999998,255
159,96,255
213,42,255
250,4.99999999999998,255
46,209,255
243,12,255
45,210,255
137,118,255
48,207,255
54,201,255
251,3.99999999999999,255
229,26,255
188,67,255
39,216,255
150,105,255
242,13,255
229,26,255
250,4.99999999999998,255
216,39,255
250,4.99999999999998,255
215,40,255
14,241,255
239,16,255
134,121,255
222,33,255
173,82,255
29,226,255
193,62,255
229,26,255
150,105,255
222,33,255
32,223,255
51,204,255
248,6.99999999999998,255
103,152,255
18,237,255
240,15,255
44,211,255
46,209,255
141,114,255
21,234,255
126,129,255
186,69,255
234,21,255
43,212,255
29,226,255
27,228,255
203,52,255
35,220,255
39,216,255
143,112,255
41,214,255
14,241,255
78,177,255
216,39,255
176,79,255
243,12,255
61,194,255
27,228,255
32,223,255
12,243,255
244,11,255
215,40,255
244,11,255
24,231,255
21,234,255
44,211,255
0.999999999999996,254,255
11,244,255
17,238,255
3.99999999999999,251,255
3.99999999999999,251,255
243,12,255
244,11,255
25,230,255
17,238,255
245,9.99999999999996,255
7.99999999999997,247,255
181,74,255
60,195,255
30,225,255
6.99999999999998,248,255
214,41,255
127,128,255
183,72,255
44,211,255
15,240,255
145,110,255
15,240,255
25,230,255
248,6.99999999999998,255
225,30,255
50,205,255
47,208,255
6.99999999999998,248,255
192,63,255
30,225,255
48,207,255
160,95,255
30,225,255
32,223,255
2.99999999999999,252,255
7.99999999999997,247,255
0.999999999999996,254,255
238,17,255
32,223,255
231,24,255
222,33,255
166,89,255
247,7.99999999999997,255
226,29,255
247,7.99999999999997,255
251,3.99999999999999,255
231,24,255
48,207,255
32,223,255
15,240,255
224,31,255
227,28,255
234,21,255
160,95,255
247,7.99999999999997,255
57,198,255
20,235,255
47,208,255
169,86,255
250,4.99999999999998,255
255,0,255
254,0.999999999999996,255
231,24,255
248,6.99999999999998,255
250,4.99999999999998,255
225,30,255
229,26,255
251,3.99999999999999,255
153,102,255
47,208,255
175,80,255
248,6.99999999999998,255
