2.04E+00	1.2728
2.06E+00	1.2718
2.08E+00	1.2707
2.11E+00	1.2694
2.13E+00	1.2677
2.15E+00	1.2663
2.17E+00	1.2648
2.19E+00	1.2633
2.22E+00	1.2609
2.24E+00	1.2591
2.25E+00	1.2587
2.25E+00	1.2582
2.26E+00	1.2573
2.27E+00	1.2564
2.29E+00	1.2545
2.31E+00	1.2525
2.33E+00	1.2504
2.35E+00	1.2482
2.37E+00	1.2459
2.39E+00	1.2435
2.41E+00	1.2409
2.43E+00	1.2382
2.46E+00	1.2337
2.50E+00	1.227
2.52E+00	1.2232
2.55E+00	1.2169
2.57E+00	1.2135
2.58E+00	1.2097
2.59E+00	1.2071
2.60E+00	1.2043
2.62E+00	1.1983
2.68E+00	1.1776
2.73E+00	1.1507
2.78E+00	1.1083
2.82E+00	1.0657
2.83E+00	1.0453
2.85E+00	1.0236
2.87E+00	1.0001
2.88E+00	0.9747
2.90E+00	0.9563
2.92E+00	0.9538
2.93E+00	0.9678
2.95E+00	0.9873
2.97E+00	1.0026
2.99E+00	1.018
3.00E+00	1.039
3.02E+00	1.0722
3.04E+00	1.1259
3.06E+00	1.2089
3.08E+00	1.3215
3.10E+00	1.4225
3.12E+00	1.4933
3.14E+00	1.5478
3.16E+00	1.597
3.18E+00	1.6336
3.20E+00	1.6477
3.22E+00	1.6405
3.24E+00	1.6248
3.26E+00	1.6108
3.28E+00	1.5905
3.30E+00	1.5714
3.32E+00	1.5559
3.35E+00	1.5396
3.37E+00	1.5241
3.39E+00	1.5086
3.41E+00	1.4949
3.44E+00	1.4827
3.46E+00	1.471
3.48E+00	1.4604
3.51E+00	1.4502
3.53E+00	1.4411
3.56E+00	1.4328
3.62E+00	1.4146
3.73E+00	1.3924
3.78E+00	1.385
3.85E+00	1.375
3.97E+00	1.3623
4.10E+00	1.3526
4.24E+00	1.3447
4.35E+00	1.3406
4.39E+00	1.3401
4.44E+00	1.3412
4.51E+00	1.3444
4.55E+00	1.3473
4.56E+00	1.3482
4.58E+00	1.3491
4.72E+00	1.347
4.90E+00	1.3379
5.00E+00	1.3325
5.10E+00	1.3268
5.20E+00	1.3212
5.26E+00	1.3176
5.40E+00	1.31
5.56E+00	1.3013
5.71E+00	1.2933
5.75E+00	1.2917
5.78E+00	1.2906
5.81E+00	1.2902
5.85E+00	1.2904
5.88E+00	1.2915
6.06E+00	1.3015
6.14E+00	1.3083
6.25E+00	1.3152
6.29E+00	1.3167
6.33E+00	1.3178
6.37E+00	1.3187
6.41E+00	1.3194
6.45E+00	1.3201
6.49E+00	1.3207
